file,name,error
tests/instcombine/addsub.opt,AddSub:1043,
tests/instcombine/addsub.opt,AddSub:1098,unknown conversion op 'zext i1 %a' ; conversionop.op = 'zext'
tests/instcombine/addsub.opt,AddSub:1152,
tests/instcombine/addsub.opt,AddSub:1156,
tests/instcombine/addsub.opt,AddSub:1156-2,binops with flags '['nsw']' not supported
tests/instcombine/addsub.opt,AddSub:1156-3,binops with flags '['nuw']' not supported
tests/instcombine/addsub.opt,AddSub:1164,
tests/instcombine/addsub.opt,AddSub:1165,
tests/instcombine/addsub.opt,AddSub:1176,
tests/instcombine/addsub.opt,AddSub:1202,
tests/instcombine/addsub.opt,AddSub:1295,
tests/instcombine/addsub.opt,AddSub:1309,
tests/instcombine/addsub.opt,AddSub:1309-2,binops with flags '['nsw']' not supported
tests/instcombine/addsub.opt,AddSub:1309-3,binops with flags '['nuw']' not supported
tests/instcombine/addsub.opt,AddSub:1539,
tests/instcombine/addsub.opt,AddSub:1539-2,
tests/instcombine/addsub.opt,AddSub:1546,binops with flags '['nsw']' not supported
tests/instcombine/addsub.opt,AddSub:1556,
tests/instcombine/addsub.opt,AddSub:1560,
tests/instcombine/addsub.opt,AddSub:1564,
tests/instcombine/addsub.opt,AddSub:1574,
tests/instcombine/addsub.opt,AddSub:1582,unknown conversion op 'zext i1 %X' ; conversionop.op = 'zext'
tests/instcombine/addsub.opt,AddSub:1587,unknown conversion op 'sext i1 %X' ; conversionop.op = 'sext'
tests/instcombine/addsub.opt,AddSub:1614,
tests/instcombine/addsub.opt,AddSub:1619,
tests/instcombine/addsub.opt,AddSub:1624,
tests/instcombine/andorxor.opt,AndOrXor:135,
tests/instcombine/andorxor.opt,AndOrXor:144,
tests/instcombine/andorxor.opt,AndOrXor:516,cannot convert value 'width(%X)' (type: 'constants.CnstFunction')
tests/instcombine/andorxor.opt,AndOrXor:523,cannot convert value 'width(%X)' (type: 'constants.CnstFunction')
tests/instcombine/andorxor.opt,AndOrXor:698,
tests/instcombine/andorxor.opt,AndOrXor:709,
tests/instcombine/andorxor.opt,AndOrXor:716,
tests/instcombine/andorxor.opt,AndOrXor:794,
tests/instcombine/andorxor.opt,AndOrXor:827,
tests/instcombine/andorxor.opt,AndOrXor:887-2,
tests/instcombine/andorxor.opt,AndOrXor:1191-1,unknown conversion op 'zext %newICMP' ; conversionop.op = 'zext'
tests/instcombine/andorxor.opt,AndOrXor:1191-2,unknown conversion op 'zext %newICMP' ; conversionop.op = 'zext'
tests/instcombine/andorxor.opt,AndOrXor:1207,unknown conversion op 'trunc %a' ; conversionop.op = 'trunc'
tests/instcombine/andorxor.opt,AndOrXor:1230  ~A & ~B -> ~(A | B),
tests/instcombine/andorxor.opt,AndOrXor:1241 (A|B) & ~(A&B) => A^B,
tests/instcombine/andorxor.opt,AndOrXor:1247 ~(A&B) & (A|B) => A^B,
tests/instcombine/andorxor.opt,AndOrXor:1253 A & (A^B) -> A & ~B,
tests/instcombine/andorxor.opt,AndOrXor:1280 (~A|B)&A -> A&B,
tests/instcombine/andorxor.opt,AndOrXor:1288 (A ^ B) & ((B ^ C) ^ A) -> (A ^ B) & ~C,
tests/instcombine/andorxor.opt,AndOrXor:1294 (A | B) & ((~A) ^ B) -> (A & B),
tests/instcombine/andorxor.opt,AndOrXor:1346 (sext),unknown conversion op 'sext %x' ; conversionop.op = 'sext'
tests/instcombine/andorxor.opt,AndOrXor:1346 (zext),unknown conversion op 'zext %x' ; conversionop.op = 'zext'
tests/instcombine/andorxor.opt,AndOrXor:1346 (trunc),unknown conversion op 'trunc %x' ; conversionop.op = 'trunc'
tests/instcombine/andorxor.opt,AndOrXor:1388,unknown conversion op 'sext i1 %a' ; conversionop.op = 'sext'
tests/instcombine/andorxor.opt,AndOrXor:1395,unknown conversion op 'sext i1 %a' ; conversionop.op = 'sext'
tests/instcombine/andorxor.opt,AndOrXor:1574,unknown conversion op 'sext %Cond' ; conversionop.op = 'sext'
tests/instcombine/andorxor.opt,AndOrXor:1577,unknown conversion op 'sext %Cond' ; conversionop.op = 'sext'
tests/instcombine/andorxor.opt,AndOrXor:1581,unknown conversion op 'sext %Cond' ; conversionop.op = 'sext'
tests/instcombine/andorxor.opt,AndOrXor:1583,unknown conversion op 'sext %Cond' ; conversionop.op = 'sext'
tests/instcombine/andorxor.opt,AndOrXor:1683-1,
